X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1STDOB,X1SEX_1.0,X1SEX_2.0,X1RACE_1.0,X1RACE_2.0,X1RACE_3.0,X1RACE_4.0,X1RACE_5.0,X1RACE_6.0,X1RACE_7.0,X1RACE_8.0,Cluster,T_ADV,T_HON,T_STUDY,T_ADV_hat,T_HON_hat
4.5,0.0,2.0,1.0,3.5,-0.1875,2.0,3.0,0.0,0.0,4.0,199505.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1,0,1,0.46831522935821795,0.4335436707551168
4.0,2.0,3.0,1.0,4.0,1.7811,5.0,7.0,0.0,0.0,4.0,199412.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0.9252200411545531,0.7841489119293334
0.0,0.0,1.0,0.0,3.0,0.5843,2.0,1.0,1.0,1.0,4.0,199508.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0,0,0,0.39105480120665853,0.43598384534491574
0.0,0.0,3.0,0.0,3.0,,,,,,,199500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.40032548786769806,0.5140080173211072
10.0,12.0,3.0,0.0,3.5,,,,,,,199400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0.6025488086714847,0.5495460029109767
0.0,0.0,3.0,1.0,3.0,1.3177,,,,,,199505.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.638746342762032,0.5806433376914326
1.0,5.0,3.0,0.0,2.5,-0.0844,,,,,,199505.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,0,0.1930949738023926,0.27257173755696845
1.5,0.0,3.0,0.0,3.5,-0.0382,2.0,4.0,0.0,0.0,3.0,199510.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.40421899871033445,0.47651056240941936
0.0,0.0,3.0,1.0,2.0,-0.6828,2.0,5.0,0.0,0.0,4.0,199406.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,1,0.1267254240971221,0.16194295922637664
6.0,9.0,3.0,0.0,3.5,1.4436,1.0,1.0,1.0,1.0,4.0,199501.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,0,0.7044553160261926,0.6239126869317808
6.0,6.0,3.0,1.0,3.5,0.3935,7.0,13.0,0.0,0.0,4.0,199412.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.7109553554612553,0.676686023375745
1.0,1.0,3.0,0.0,3.5,-0.72,2.0,2.0,1.0,1.0,4.0,199403.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0,0,0,0.12394905579775888,0.3444832186416605
15.0,0.0,3.0,0.0,4.0,2.1942,7.0,13.0,0.0,0.0,4.0,199504.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.8213384057573614,0.7315045883808977
4.5,1.0,3.0,0.0,4.0,1.5706,3.0,3.0,0.0,0.0,4.0,199509.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,0,0,0.6992177336028437,0.6170955211100737
0.0,0.5,3.0,0.0,2.5,0.4876,3.0,1.0,1.0,1.0,3.0,199507.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,0,0,0,0.2927950588217225,0.27526654954469526
0.0,0.0,3.0,0.0,,-1.0799,5.0,4.0,0.0,0.0,4.0,199411.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.23365447705023037,0.3506777145036466
3.0,0.0,2.0,1.0,3.0,-0.0585,4.0,1.0,1.0,1.0,4.0,199506.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,0,0,1,0.2661993562899835,0.3542231371644979
3.0,0.0,2.0,0.0,3.5,-0.1184,4.0,4.0,0.0,0.0,4.0,199502.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,0,0.4257860863967138,0.4564784431026237
0.0,0.0,3.0,0.0,3.0,1.2081,7.0,5.0,0.0,0.0,2.0,199502.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,0,0.5639907967568617,0.6234809215179118
2.0,1.0,3.0,1.0,2.5,0.2807,4.0,13.0,0.0,0.0,2.0,199507.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,0,0,1,0.3696422347667182,0.36651974879611715
0.0,2.5,2.0,0.0,4.0,0.1812,5.0,13.0,0.0,0.0,2.0,199508.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.643689521901895,0.6192068356851377
0.0,0.0,3.0,1.0,2.0,-0.8057,3.0,13.0,0.0,0.0,2.0,199506.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0.20004679645159737,0.25578238433143
4.0,19.0,3.0,1.0,3.5,1.1893,5.0,7.0,0.0,0.0,3.0,199412.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,0.7649966593266809,0.7103725010837055
0.0,6.0,3.0,1.0,3.5,0.6544,2.0,1.0,1.0,1.0,2.0,199411.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,1,1,0.427406147086002,0.48954879303467147
8.0,13.0,2.0,1.0,4.0,2.5699,5.0,8.0,0.0,0.0,4.0,199510.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.9297140623199749,0.7916407315933202
0.0,0.5,3.0,0.0,2.5,0.7455,2.0,2.0,0.0,0.0,4.0,199410.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.30858488570692705,0.2820921093690187
7.5,0.0,2.0,1.0,3.5,0.9406,4.0,4.0,0.0,0.0,4.0,199504.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0.5823573636276184,0.6263258861575364
8.0,12.0,3.0,0.0,4.0,0.5369,,,,,,199506.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,1,0,0.7867087969244134,0.6272679034731781
0.0,0.0,3.0,1.0,1.5,,2.0,4.0,0.0,0.0,2.0,199500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,1,0.16801989728100786,0.23469374520905592
0.0,0.0,3.0,1.0,3.5,-0.1491,,,,,,199504.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0.38472123552243426,0.47276288954670387
3.0,16.0,3.0,1.0,3.5,1.9674,3.0,5.0,0.0,0.0,4.0,199411.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1,0.7641989239944664,0.640602455659562
0.0,0.0,3.0,0.0,3.5,0.6435,4.0,3.0,0.0,0.0,4.0,199412.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.5307151896450375,0.5960597122870395
8.5,0.0,2.0,0.0,3.0,-0.3434,5.0,1.0,1.0,1.0,2.0,199505.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,1,0,0,0.2024282973979987,0.35264572251266996
0.0,7.0,3.0,0.0,3.0,0.9665,4.0,5.0,0.0,0.0,3.0,199510.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.46356477804123325,0.556544531866082
1.0,4.0,2.0,1.0,3.0,-0.3298,3.0,3.0,0.0,0.0,3.0,199503.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1,0.16189299553848926,0.3270060501610626
