Cluster,Outcome_GPA_Final,Trat_Creditos_Avanzados,Trat_Honors,Trat_Taller_Estudio,Contexto_GPA_9no,Contexto_Habilidad_Mate,Contexto_Ingreso_Familiar,X1PAREDU,X1SEX_1.0,X1SEX_2.0,Efecto_Causal_Creditos,Efecto_Causal_Honors,Efecto_Causal_Taller
4,3.5,3.0,0.0,0.0,0.8492997057487409,0.8492543839076926,2.145290339614906,1.3821717973421044,0.9839336042921399,-0.9834834377846552,0.0011954802699499396,0.0032261330570771823,-0.03629490512526615
2,4.0,0.0,0.0,0.0,1.4029364290273778,-0.36923072642717586,-0.5626666101030993,-0.15958580753165322,-1.0163287397013119,1.0167939403764124,-0.008561499528121026,-0.00777839857553124,-0.1035253311831657
3,2.5,6.0,4.0,0.0,0.8492997057487409,1.3571007980108487,0.5978863683474744,2.923929402215862,-1.0163287397013119,1.0167939403764124,-0.022405783871719685,0.017288758358307503,-0.018202363009960143
2,4.0,5.0,10.5,0.0,0.8492997057487409,-0.20377213551225457,0.21103537553061655,0.6112929949052256,-1.0163287397013119,1.0167939403764124,0.018225794716922743,0.007976394477501984,-0.05242319073641875
4,3.5,5.0,0.5,0.0,0.8492997057487409,1.1848247504395246,1.7584393467980481,0.6112929949052256,0.9839336042921399,-0.9834834377846552,0.014131203515001002,0.01175018842297456,-0.05092654742601126
2,3.0,1.0,0.0,0.0,0.2956629824701038,0.7196144938383168,0.21103537553061655,-0.15958580753165322,-1.0163287397013119,1.0167939403764124,0.018337754270207153,0.013286663346417019,0.005273590573198407
2,2.5,4.0,0.0,1.0,-0.25797374080853325,-0.1800733576114254,-0.17581561728624137,-0.930464609968532,-1.0163287397013119,1.0167939403764124,0.02297834062497843,0.023323178378467133,0.03203702219652367
4,3.5,1.0,0.0,0.0,0.8492997057487409,0.35450181512873885,0.9847373611643324,2.923929402215862,0.9839336042921399,-0.9834834377846552,0.01670372568036351,0.010871490738739439,-0.048463116078523626
4,3.5,5.0,2.0,0.0,1.4029364290273778,0.20473419588331634,-0.17581561728624137,-0.930464609968532,0.9839336042921399,-0.9834834377846552,0.0008203598419468244,-0.007407156622387782,-0.07566099907328885
2,3.5,6.0,0.0,0.0,0.8492997057487409,1.3107853781863972,-0.17581561728624137,-0.15958580753165322,-1.0163287397013119,1.0167939403764124,0.014313768712318199,0.006965831624394568,-0.035775002624856216
4,3.0,0.0,15.0,1.0,0.8492997057487409,0.5500437862100095,0.21103537553061655,1.3821717973421044,0.9839336042921399,-0.9834834377846552,0.011108986485152322,0.006834783107575855,-0.07527220835076145
2,4.0,8.0,0.0,1.0,1.4029364290273778,1.715612447259465,3.3058433180654796,2.923929402215862,-1.0163287397013119,1.0167939403764124,9.347008729376771e-05,-0.005611868192560977,-0.09419321892508531
4,3.5,5.0,11.0,1.0,0.8492997057487409,1.6093466942977561,3.3058433180654796,2.923929402215862,0.9839336042921399,-0.9834834377846552,0.014292326967713414,0.01725019530263347,-0.024945946141738062
